time	fnum	flen
14:40:00.447	2690	62
14:40:00.448	2692	1202
14:40:00.449	2695	1202
14:40:00.450	2709	62
14:40:00.451	2723	618
14:40:00.452	2725	1214
14:40:00.453	2727	62
14:40:00.454	2731	630
14:40:00.455	2741	446
14:40:00.456	2743	1514
14:40:00.457	2754	1514
14:40:00.458	2763	446
14:40:00.459	2775	1206
14:40:00.460	2777	1202
14:40:00.461	2778	62
14:40:00.462	2781	446
14:40:00.463	2790	630
14:40:00.464	2803	630
14:40:00.465	2811	62
14:40:00.466	2819	62
14:40:00.467	2829	1514
14:40:00.468	2847	430
14:40:00.469	2851	1514
14:40:00.470	2863	1514
14:40:00.471	2870	1202
14:40:00.472	2872	1214
14:40:00.473	2874	62
14:40:00.474	2879	430
14:40:00.475	2883	62
14:40:00.476	2885	1514
14:40:00.477	2891	618
14:40:00.478	2896	430
14:40:00.479	2901	1206
14:40:00.480	2906	62
14:40:00.481	2918	446
14:40:00.482	2925	62
14:40:00.483	2932	446
14:40:00.484	2940	430
14:40:00.485	2952	430
14:40:00.486	2960	62
14:40:00.487	2969	62
14:40:00.488	2971	62
14:40:00.489	2973	1190
14:40:00.490	2983	1514
14:40:00.491	2988	634
14:40:00.492	3001	1202
14:40:00.493	3004	62
14:40:00.494	3006	630
14:40:00.495	3007	62
14:40:00.496	3009	62
14:40:00.497	3015	1514
14:40:00.498	3017	634
14:40:00.499	3022	1230
14:40:00.500	3032	1514
14:40:00.501	3039	1514
14:40:00.502	3052	446
14:40:00.503	3060	1514
14:40:00.504	3078	1218
14:40:00.505	3086	1514
14:40:00.506	3099	1514
14:40:00.507	3105	630
14:40:00.508	3114	618
14:40:00.509	3115	446
14:40:00.510	3117	446
14:40:00.511	3126	446
14:40:00.512	3129	446
14:40:00.513	3139	446
14:40:00.514	3141	446
14:40:00.515	3149	1514
14:40:00.516	3160	62
14:40:00.517	3163	618
14:40:00.518	3166	62
14:40:00.519	3171	430
14:40:00.520	3179	62
14:40:00.521	3182	1514
14:40:00.522	3186	62
14:40:00.523	3198	634
14:40:00.524	3204	62
14:40:00.525	3211	646
14:40:00.526	3219	62
14:40:00.527	3224	430
14:40:00.528	3230	1514
14:40:00.529	3244	618
14:40:00.530	3250	446
14:40:00.531	3256	630
14:40:00.532	3263	430
14:40:00.533	3269	446
14:40:00.534	3272	1514
14:40:00.535	3279	430
14:40:00.536	3283	1218
14:40:00.537	3292	634
14:40:00.538	3303	1190
14:40:00.539	3307	1514
14:40:00.540	3313	62
14:40:00.541	3318	1514
14:40:00.542	3329	62
14:40:00.543	3338	1202
14:40:00.544	3349	446
14:40:00.545	3363	62
14:40:00.546	3376	62
14:40:00.547	3386	1514
14:40:00.548	3398	430
14:40:00.549	3415	1230
14:40:00.550	3424	430
14:40:00.551	3442	62
14:40:00.552	3444	1214
14:40:00.553	3447	1514
14:40:00.554	3450	1230
14:40:00.555	3455	1514
14:40:00.556	3465	1514
14:40:00.557	3470	1514
14:40:00.558	3473	1218
14:40:00.559	3479	62
14:40:00.560	3483	446
14:40:00.561	3488	446
14:40:00.562	3492	1202
14:40:00.563	3497	62
14:40:00.564	3502	430
14:40:00.565	3505	1514
14:40:00.566	3516	446
14:40:00.567	3521	1514
14:40:00.568	3527	446
14:40:00.569	3532	1514
14:40:00.570	3540	646
14:40:00.571	3545	1190
14:40:00.572	3550	1202
14:40:00.573	3555	430
14:40:00.574	3571	1514
14:40:00.575	3586	62
14:40:00.576	3589	1514
14:40:00.577	3593	1514
14:40:00.578	3600	1514
14:40:00.579	3606	446
14:40:00.580	3608	1214
14:40:00.581	3618	62
14:40:00.582	3626	62
14:40:00.583	3634	446
14:40:00.584	3640	1514
14:40:00.585	3644	1514
14:40:00.586	3655	430
14:40:00.587	3668	1514
14:40:00.588	3679	646
14:40:00.589	3684	430
14:40:00.590	3691	446
14:40:00.591	3701	62
14:40:00.592	3706	62
14:40:00.593	3713	430
14:40:00.594	3728	430
14:40:00.595	3736	430
14:40:00.596	3746	646
14:40:00.597	3755	634
14:40:00.598	3760	1202
14:40:00.599	3769	1514
14:40:00.600	3778	634
14:40:00.601	3791	1190
14:40:00.602	3798	1514
14:40:00.603	3809	1514
14:40:00.604	3817	446
14:40:00.605	3820	1514
14:40:00.606	3825	1514
14:40:00.607	3834	1514
14:40:00.608	3839	446
14:40:00.609	3854	1218
14:40:00.610	3859	630
14:40:00.611	3869	618
14:40:00.612	3878	618
14:40:00.613	3887	1514
14:40:00.614	3898	1514
14:40:00.615	3902	634
14:40:00.616	3907	430
14:40:00.617	3912	430
14:40:00.619	3915	62
14:40:00.620	3920	1514
14:40:00.621	3926	618
14:40:00.622	3929	1202
14:40:00.623	3937	1206
14:40:00.624	3948	1514
14:40:00.625	3957	430
14:40:00.626	3963	430
14:40:00.627	3970	1218
14:40:00.628	3978	430
14:40:00.629	3988	430
14:40:00.630	3992	446
14:40:00.631	3998	62
14:40:00.632	4008	1514
14:40:00.633	4021	446
14:40:00.634	4027	62
14:40:00.635	4038	430
14:40:00.636	4042	1514
14:40:00.637	4049	430
14:40:00.638	4053	646
14:40:00.639	4060	646
14:40:00.640	4073	630
14:40:00.641	4094	430
14:40:00.642	4108	1202
14:40:00.643	4111	1514
14:40:00.644	4115	62
14:40:00.645	4123	62
14:40:00.646	4126	62
14:40:00.647	4129	62
14:40:00.648	4131	646
14:40:00.651	4133	62
14:40:00.652	4138	1514
14:40:00.653	4147	430
14:40:00.654	4160	430
14:40:00.655	4169	62
14:40:00.656	4170	646
14:40:00.657	4173	62
14:40:00.659	4175	62
14:40:00.660	4182	62
14:40:00.661	4191	62
14:40:00.662	4200	62
14:40:00.663	4209	1514
14:40:00.664	4220	1218
14:40:00.665	4228	446
14:40:00.666	4237	446
14:40:00.667	4246	62
14:40:00.668	4248	1514
14:40:00.669	4256	1514
14:40:00.670	4264	62
14:40:00.671	4276	62
14:40:00.672	4284	1514
14:40:00.673	4291	446
14:40:00.674	4300	430
14:40:00.675	4304	1202
14:40:00.676	4319	446
14:40:00.677	4327	62
14:40:00.678	4329	1214
14:40:00.679	4332	446
14:40:00.680	4335	446
14:40:00.681	4342	1514
14:40:00.682	4349	1190
14:40:00.683	4356	446
14:40:00.684	4363	1218
14:40:00.685	4366	62
14:40:00.686	4368	1202
14:40:00.687	4371	62
14:40:00.688	4374	446
14:40:00.689	4375	634
14:40:00.690	4385	1514
14:40:00.691	4398	446
14:40:00.692	4404	446
14:40:00.693	4406	430
14:40:00.694	4417	446
14:40:00.695	4420	1218
14:40:00.696	4433	1514
14:40:00.697	4443	1218
14:40:00.698	4458	646
14:40:00.699	4476	630
14:40:00.700	4478	1514
14:40:00.701	4494	646
14:40:00.702	4499	430
14:40:00.703	4501	62
14:40:00.704	4507	62
14:40:00.705	4511	1514
14:40:00.706	4519	1514
14:40:00.707	4528	618
14:40:00.708	4538	446
14:40:00.709	4547	1514
14:40:00.710	4554	1514
14:40:00.711	4566	62
14:40:00.712	4567	1230
14:40:00.713	4573	62
14:40:00.714	4575	1202
14:40:00.715	4580	1202
14:40:00.716	4582	62
14:40:00.717	4584	62
14:40:00.718	4586	1202
14:40:00.719	4589	1202
14:40:00.720	4595	1202
14:40:00.721	4597	1190
14:40:00.722	4601	618
14:40:00.723	4609	1514
14:40:00.724	4619	1514
14:40:00.725	4630	62
14:40:00.726	4633	430
14:40:00.727	4640	1514
14:40:00.728	4644	446
14:40:00.729	4655	1514
14:40:00.730	4663	1514
14:40:00.731	4676	618
14:40:00.732	4681	1514
14:40:00.733	4692	430
14:40:00.734	4703	1514
14:40:00.735	4709	62
14:40:00.736	4717	618
14:40:00.737	4726	62
14:40:00.738	4731	430
14:40:00.739	4739	1230
14:40:00.740	4746	1514
14:40:00.741	4771	1514
14:40:00.742	4792	646
14:40:00.743	4807	62
14:40:00.744	4817	630
14:40:00.745	4819	1514
14:40:00.746	4825	1202
14:40:00.747	4828	62
14:40:00.748	4830	62
14:40:00.749	4832	1202
14:40:00.750	4834	1214
14:40:00.751	4836	1190
14:40:00.752	4838	62
14:40:00.753	4843	62
14:40:00.754	4844	62
14:40:00.755	4846	62
14:40:00.756	4848	446
14:40:00.757	4855	62
14:40:00.758	4864	430
14:40:00.759	4884	1514
14:40:00.760	4888	646
14:40:00.761	4892	62
14:40:00.762	4897	1514
14:40:00.763	4904	62
14:40:00.764	4912	634
14:40:00.765	4921	446
14:40:00.766	4928	446
14:40:00.767	4939	446
14:40:00.768	4948	62
14:40:00.769	4955	430
14:40:00.770	4960	634
14:40:00.771	4962	446
14:40:00.772	4976	62
14:40:00.773	4980	446
14:40:00.774	4987	446
14:40:00.775	4988	62
14:40:00.776	4998	1214
14:40:00.777	5002	634
14:40:00.778	5012	1202
14:40:00.779	5015	446
14:40:00.780	5020	446
14:40:00.781	5022	430
14:40:00.782	5027	430
14:40:00.783	5040	430
14:40:00.784	5058	430
14:40:00.785	5065	618
14:40:00.786	5066	446
14:40:00.787	5074	634
14:40:00.788	5079	446
14:40:00.789	5084	62
14:40:00.790	5098	1514
14:40:00.791	5113	62
14:40:00.792	5122	1514
14:40:00.793	5130	1514
14:40:00.794	5136	1514
14:40:00.795	5140	62
14:40:00.796	5150	62
14:40:00.797	5152	430
14:40:00.798	5153	446
14:40:00.799	5163	1214
14:40:00.800	5177	62
14:40:00.801	5183	1218
14:40:00.802	5195	646
14:40:00.803	5204	1514
14:40:00.804	5211	62
14:40:00.805	5217	62
14:40:00.806	5227	62
14:40:00.807	5236	1514
14:40:00.808	5246	1514
14:40:00.809	5255	62
14:40:00.810	5257	62
14:40:00.811	5259	62
14:40:00.812	5261	446
14:40:00.813	5264	1202
14:40:00.814	5270	1218
14:40:00.815	5273	446
14:40:00.816	5279	1514
14:40:00.817	5294	1514
14:40:00.818	5311	62
14:40:00.819	5318	1214
14:40:00.820	5323	1514
14:40:00.821	5326	1514
14:40:00.822	5336	446
14:40:00.823	5341	62
14:40:00.824	5349	1514
14:40:00.825	5360	62
14:40:00.826	5364	1218
14:40:00.827	5371	630
14:40:00.828	5381	618
14:40:00.829	5392	1514
14:40:00.830	5398	634
14:40:00.831	5407	1514
14:40:00.832	5410	62
14:40:00.834	5412	1202
14:40:00.836	5415	1514
14:40:00.837	5423	62
14:40:00.838	5433	62
14:40:00.839	5445	62
14:40:00.840	5456	630
14:40:00.841	5459	62
14:40:00.842	5461	1202
14:40:00.843	5472	62
14:40:00.844	5481	1514
14:40:00.845	5489	430
14:40:00.846	5497	1514
14:40:00.847	5506	1514
14:40:00.848	5517	446
14:40:00.849	5521	62
14:40:00.850	5531	446
14:40:00.851	5534	62
14:40:00.852	5537	62
14:40:00.854	5539	446
14:40:00.855	5547	62
14:40:00.856	5566	1514
14:40:00.857	5571	1514
14:40:00.858	5586	634
14:40:00.859	5594	430
14:40:00.860	5598	1218
14:40:00.862	5600	1218
14:40:00.863	5606	430
14:40:00.864	5614	1514
14:40:00.865	5626	1514
14:40:00.866	5632	1514
14:40:00.867	5638	430
14:40:00.868	5645	1514
14:40:00.869	5656	1218
14:40:00.870	5660	1514
14:40:00.871	5673	62
14:40:00.872	5681	1514
14:40:00.873	5686	1514
14:40:00.874	5697	62
14:40:00.875	5700	1514
14:40:00.876	5706	646
14:40:00.877	5714	430
14:40:00.878	5719	446
14:40:00.879	5723	446
14:40:00.880	5728	1218
14:40:00.881	5736	62
14:40:00.882	5746	430
14:40:00.883	5753	62
14:40:00.884	5755	446
14:40:00.885	5764	62
14:40:00.886	5768	62
14:40:00.887	5770	62
14:40:00.889	5772	1514
14:40:00.890	5778	1514
14:40:00.891	5784	62
14:40:00.894	5786	1202
14:40:00.895	5789	62
14:40:00.896	5791	1190
14:40:00.897	5794	446
14:40:00.898	5798	634
14:40:00.899	5815	62
14:40:00.900	5827	446
14:40:00.901	5841	62
